No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0.0,0.0,1.0,0.0,2.0,0.0,322.096,57.666,83.423,35.679,35.563,9.581,0.0,0.0
1,0.0,0.0,1.0,1.0,3.0,0.0,484.521,143.665,37.332,36.564,36.493,9.744,0.0,0.0
2,0.0,0.0,1.0,2.0,4.0,0.0,435.38,158.288,89.796,36.144,35.938,9.614,0.0,0.0
3,0.0,0.0,1.0,3.0,5.0,0.0,159.325,219.967,71.037,36.939,36.862,9.763,0.0,0.0
4,0.0,0.0,1.0,4.0,6.0,0.0,407.585,267.92,-7.995,35.996,35.945,9.675,0.0,0.0
5,0.0,0.0,1.0,5.0,7.0,0.0,452.781,404.215,54.238,37.272,37.066,9.756,0.0,0.0
8,1.0,0.0,1.0,2.0,2.0,0.0,792.76,141.064,107.039,36.104,36.01,9.618,0.0,0.0
9,1.0,0.0,1.0,3.0,3.0,0.0,1094.163,294.762,35.849,36.201,36.007,9.631,0.0,0.0
10,1.0,0.0,1.0,4.0,4.0,0.0,849.228,330.648,12.499,36.084,36.048,9.7,0.0,0.0
11,1.0,0.0,1.0,5.0,5.0,0.0,1007.857,337.881,59.823,36.414,36.384,9.631,0.0,0.0
12,1.0,0.0,1.0,6.0,7.0,0.0,664.976,406.242,23.192,36.8,36.747,9.73,0.0,0.0
13,2.0,0.0,1.0,0.0,0.0,0.0,1392.296,231.284,89.638,36.897,36.72,9.739,0.0,0.0
14,2.0,0.0,1.0,1.0,1.0,0.0,1638.791,234.891,103.358,37.121,37.017,9.808,0.0,0.0
15,2.0,0.0,1.0,2.0,2.0,0.0,1645.24,277.288,63.517,36.579,36.477,9.665,0.0,0.0
16,2.0,0.0,1.0,3.0,3.0,0.0,1736.614,340.343,95.982,33.05,31.965,9.13,0.0,0.0
17,2.0,0.0,1.0,4.0,4.0,0.0,1172.359,373.033,132.151,37.018,36.902,9.701,0.0,0.0
18,3.0,0.0,1.0,0.0,0.0,0.0,2006.591,299.39,114.779,36.354,36.242,9.682,0.0,0.0
19,4.0,0.0,1.0,0.0,2.0,0.0,2404.545,96.664,48.116,36.494,36.27,9.705,0.0,0.0
20,4.0,0.0,1.0,1.0,3.0,0.0,2691.084,194.848,43.887,36.077,36.038,9.618,0.0,0.0
22,4.0,0.0,1.0,3.0,5.0,0.0,2512.217,255.01,78.792,36.342,36.249,9.681,0.0,0.0
