No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0.0,0.0,0.0,0.0,2.0,0.0,326.802,46.682,61.361,32.022,31.936,9.066,0.0,0.0
1,0.0,0.0,0.0,1.0,3.0,0.0,484.328,139.761,28.455,32.685,32.468,9.151,0.0,0.0
2,0.0,0.0,0.0,2.0,4.0,0.0,446.016,154.337,126.856,32.382,32.305,9.17,0.0,0.0
3,0.0,0.0,0.0,3.0,5.0,0.0,166.607,208.516,65.208,32.135,31.86,9.071,0.0,0.0
4,0.0,0.0,0.0,4.0,6.0,0.0,407.49,262.594,93.669,32.77,32.678,9.193,0.0,0.0
5,0.0,0.0,0.0,5.0,7.0,0.0,461.332,402.297,73.355,33.072,32.9,9.183,0.0,0.0
7,1.0,0.0,0.0,1.0,1.0,0.0,838.225,111.734,73.998,32.066,31.758,9.047,0.0,0.0
8,1.0,0.0,0.0,2.0,2.0,0.0,793.745,137.675,3.003,32.328,32.198,9.147,0.0,0.0
9,1.0,0.0,0.0,3.0,3.0,0.0,1085.148,283.403,4.924,32.631,32.547,9.155,0.0,0.0
10,1.0,0.0,0.0,4.0,4.0,0.0,845.472,323.924,92.455,32.418,32.193,9.158,0.0,0.0
11,1.0,0.0,0.0,5.0,5.0,0.0,1009.572,330.727,-17.834,32.316,32.122,9.134,0.0,0.0
12,1.0,0.0,0.0,6.0,7.0,0.0,659.098,397.396,-28.317,32.357,32.181,9.149,0.0,0.0
13,2.0,0.0,0.0,0.0,0.0,0.0,1394.504,224.635,44.95,32.539,32.191,9.176,0.0,0.0
14,2.0,0.0,0.0,1.0,1.0,0.0,1634.62,243.068,86.147,32.64,32.565,9.159,0.0,0.0
15,2.0,0.0,0.0,2.0,2.0,0.0,1648.723,277.26,83.684,32.443,32.32,9.18,0.0,0.0
16,2.0,0.0,0.0,3.0,3.0,0.0,1170.191,363.685,-5.853,32.368,32.202,9.153,0.0,0.0
17,2.0,0.0,0.0,4.0,4.0,0.0,1718.427,380.615,97.063,30.158,29.731,8.736,0.0,0.0
18,3.0,0.0,0.0,0.0,1.0,0.0,2016.255,285.561,64.227,32.245,32.069,9.116,0.0,0.0
20,4.0,0.0,0.0,1.0,1.0,0.0,2397.132,76.965,30.769,32.498,31.947,9.052,0.0,0.0
21,4.0,0.0,0.0,2.0,2.0,0.0,2691.463,188.54,93.167,32.284,32.238,9.146,0.0,0.0
22,4.0,0.0,0.0,3.0,3.0,0.0,2621.083,246.266,24.478,32.229,32.196,9.133,0.0,0.0
23,4.0,0.0,0.0,4.0,4.0,0.0,2509.436,250.34,62.955,31.823,31.79,9.102,0.0,0.0
25,5.0,0.0,0.0,0.0,0.0,0.0,3310.676,232.786,-6.687,32.147,32.03,9.097,0.0,0.0
26,5.0,0.0,0.0,1.0,1.0,0.0,3468.462,258.856,92.956,34.68,25.951,8.524,0.0,0.0
27,5.0,0.0,0.0,2.0,2.0,0.0,2912.883,273.85,3.298,32.738,32.582,9.175,0.0,0.0
28,5.0,0.0,0.0,3.0,3.0,0.0,2949.621,418.674,-1.045,34.306,29.275,8.836,0.0,0.0
29,6.0,0.0,0.0,0.0,1.0,0.0,3673.652,109.194,64.659,31.824,31.481,9.057,0.0,0.0
30,6.0,0.0,0.0,1.0,2.0,0.0,3877.382,243.431,1.2,32.34,32.235,9.154,0.0,0.0
31,6.0,0.0,0.0,2.0,4.0,0.0,3745.693,309.009,44.13,32.995,32.895,9.255,0.0,0.0
32,6.0,0.0,0.0,3.0,5.0,0.0,3511.396,324.708,15.541,32.171,31.884,9.08,0.0,0.0
33,7.0,0.0,0.0,0.0,1.0,0.0,4163.216,94.951,39.738,32.642,32.432,9.14,0.0,0.0
34,7.0,0.0,0.0,1.0,2.0,0.0,4513.861,112.947,112.676,32.088,31.834,9.061,0.0,0.0
35,7.0,0.0,0.0,2.0,3.0,0.0,4149.308,241.041,94.042,32.442,32.377,9.105,0.0,0.0
36,7.0,0.0,0.0,3.0,4.0,0.0,4618.477,356.006,92.557,33.706,29.687,8.887,0.0,0.0
37,7.0,0.0,0.0,4.0,5.0,0.0,4324.948,367.659,5.119,32.136,32.111,9.107,0.0,0.0
38,7.0,0.0,0.0,5.0,6.0,0.0,4434.276,376.424,-10.809,32.705,32.552,9.166,0.0,0.0
39,8.0,0.0,0.0,0.0,2.0,0.0,4898.408,318.099,47.94,32.404,32.319,9.175,0.0,0.0
42,9.0,0.0,0.0,1.0,2.0,0.0,5767.478,62.913,-28.309,33.092,32.775,9.252,0.0,0.0
43,9.0,0.0,0.0,2.0,3.0,0.0,5555.879,141.348,91.219,32.292,32.236,9.147,0.0,0.0
44,9.0,0.0,0.0,3.0,4.0,0.0,5461.894,167.046,8.592,32.082,32.049,9.091,0.0,0.0
45,9.0,0.0,0.0,4.0,5.0,0.0,5598.312,202.444,61.106,32.1,31.957,9.08,0.0,0.0
46,9.0,0.0,0.0,5.0,6.0,0.0,5218.824,307.768,5.097,32.269,32.087,9.123,0.0,0.0
47,9.0,0.0,0.0,6.0,7.0,0.0,5264.286,313.359,10.024,32.783,32.615,9.186,0.0,0.0
48,9.0,0.0,0.0,7.0,8.0,0.0,5649.191,350.84,89.585,32.927,32.882,9.243,0.0,0.0
49,9.0,0.0,0.0,8.0,9.0,0.0,5518.958,385.887,115.465,32.614,32.464,9.141,0.0,0.0
50,0.0,1.0,0.0,0.0,1.0,0.0,63.455,501.642,56.688,32.406,32.233,9.163,0.0,0.0
51,0.0,1.0,0.0,1.0,2.0,0.0,124.617,518.076,34.561,32.076,31.996,9.082,0.0,0.0
52,0.0,1.0,0.0,2.0,3.0,0.0,57.994,784.387,-5.516,32.419,32.284,9.172,0.0,0.0
54,0.0,1.0,0.0,4.0,5.0,0.0,353.704,805.378,54.501,32.46,32.387,9.108,0.0,0.0
55,1.0,1.0,0.0,0.0,1.0,0.0,968.912,466.119,85.635,32.485,31.701,8.932,0.0,0.0
57,1.0,1.0,0.0,2.0,3.0,0.0,639.69,660.178,36.799,33.053,32.9,9.181,0.0,0.0
58,1.0,1.0,0.0,3.0,4.0,0.0,942.627,685.967,17.805,32.375,32.11,9.141,0.0,0.0
59,1.0,1.0,0.0,4.0,5.0,0.0,648.1,714.459,-14.498,32.34,32.242,9.155,0.0,0.0
60,1.0,1.0,0.0,5.0,6.0,0.0,825.561,755.381,41.976,32.402,32.31,9.089,0.0,0.0
61,2.0,1.0,0.0,0.0,0.0,0.0,1420.803,495.762,59.697,32.648,32.309,9.124,0.0,0.0
62,2.0,1.0,0.0,1.0,1.0,0.0,1697.447,501.165,-26.829,32.545,32.287,9.107,0.0,0.0
63,2.0,1.0,0.0,2.0,2.0,0.0,1573.952,760.255,43.737,32.719,32.311,9.134,0.0,0.0
64,2.0,1.0,0.0,3.0,3.0,0.0,1183.085,811.29,-6.384,32.674,32.38,9.138,0.0,0.0
66,3.0,1.0,0.0,1.0,1.0,0.0,2067.25,620.892,59.401,31.916,31.766,9.027,0.0,0.0
67,3.0,1.0,0.0,2.0,2.0,0.0,1822.248,649.103,56.629,32.364,32.286,9.164,0.0,0.0
68,4.0,1.0,0.0,0.0,0.0,0.0,2356.679,510.225,38.466,32.278,31.989,9.11,0.0,0.0
71,4.0,1.0,0.0,3.0,2.0,0.0,2474.188,669.175,-2.539,32.16,32.028,9.099,0.0,0.0
72,4.0,1.0,0.0,4.0,3.0,0.0,2533.502,734.939,52.869,32.143,31.914,9.08,0.0,0.0
73,4.0,1.0,0.0,5.0,4.0,0.0,2576.734,741.519,39.159,32.095,32.061,9.094,0.0,0.0
74,5.0,1.0,0.0,0.0,1.0,0.0,3266.151,489.308,63.756,32.489,32.34,9.106,0.0,0.0
