No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0.0,0.0,0.0,0.0,1.0,0.0,337.958,76.743,64.751,28.325,28.242,8.595,0.0,0.0
2,0.0,0.0,0.0,2.0,3.0,0.0,479.003,188.035,95.636,30.287,28.546,8.665,0.0,0.0
3,0.0,0.0,0.0,3.0,4.0,0.0,147.523,242.499,67.801,28.499,28.454,8.563,0.0,0.0
4,0.0,0.0,0.0,4.0,5.0,0.0,414.004,291.474,70.433,28.643,28.431,8.581,0.0,0.0
7,1.0,0.0,0.0,0.0,0.0,0.0,835.04,131.858,94.465,27.695,27.257,8.439,0.0,0.0
8,1.0,0.0,0.0,1.0,1.0,0.0,795.655,170.588,20.819,28.045,27.981,8.513,0.0,0.0
9,1.0,0.0,0.0,2.0,2.0,0.0,1072.657,289.731,-38.682,28.598,28.455,8.578,0.0,0.0
10,1.0,0.0,0.0,3.0,3.0,0.0,839.535,344.307,63.158,28.284,28.132,8.482,0.0,0.0
11,1.0,0.0,0.0,4.0,4.0,0.0,1029.433,344.53,-37.002,28.429,28.359,8.538,0.0,0.0
12,1.0,0.0,0.0,5.0,5.0,0.0,1160.129,376.804,14.196,29.042,28.828,8.612,0.0,0.0
13,1.0,0.0,0.0,6.0,6.0,0.0,657.695,415.309,1.172,28.71,28.695,8.631,0.0,0.0
15,2.0,0.0,0.0,1.0,2.0,0.0,1382.188,251.901,68.376,28.391,28.259,8.518,0.0,0.0
16,2.0,0.0,0.0,2.0,3.0,0.0,1615.851,284.924,-41.178,28.249,28.154,8.48,0.0,0.0
17,2.0,0.0,0.0,3.0,4.0,0.0,1669.71,310.241,42.843,28.681,28.564,8.607,0.0,0.0
19,2.0,0.0,0.0,5.0,7.0,0.0,1699.767,413.188,-17.91,29.213,29.12,8.593,0.0,0.0
20,3.0,0.0,0.0,0.0,1.0,0.0,1893.146,50.364,53.492,27.991,27.778,8.474,0.0,0.0
21,3.0,0.0,0.0,1.0,3.0,0.0,2041.987,286.772,115.2,28.279,28.201,8.492,0.0,0.0
23,4.0,0.0,0.0,0.0,0.0,0.0,2432.627,41.613,-2.026,28.342,27.881,9.136,0.0,0.0
24,4.0,0.0,0.0,1.0,0.0,0.0,2386.601,56.64,-39.433,28.019,27.526,9.025,0.0,0.0
25,4.0,0.0,0.0,2.0,3.0,0.0,2688.172,198.644,110.864,27.931,27.462,8.417,0.0,0.0
27,4.0,0.0,0.0,4.0,5.0,0.0,2641.323,265.923,33.211,28.151,28.039,8.538,0.0,0.0
28,4.0,0.0,0.0,5.0,6.0,0.0,2512.819,275.053,9.86,27.969,27.859,8.483,0.0,0.0
30,5.0,0.0,0.0,1.0,1.0,0.0,3327.215,257.152,64.184,28.039,27.738,8.475,0.0,0.0
31,5.0,0.0,0.0,2.0,3.0,0.0,2922.733,273.342,-2.984,28.215,28.024,8.545,0.0,0.0
